,homones,awayones,hometwos,awaytwos,homethrees,awaythrees,hometeam,awayteam
619,16,6,28,27,11,18,1,17
620,22,13,29,34,15,11,3,19
621,28,15,23,31,15,12,20,12
622,17,18,38,39,14,11,15,27
623,15,10,33,30,15,9,8,24
624,26,11,26,28,19,16,26,11
625,25,31,28,30,11,14,23,21
626,9,15,25,29,13,12,2,3
627,15,10,33,13,9,22,16,17
628,28,19,33,28,10,13,28,4
629,17,9,34,34,10,14,14,7
630,22,24,29,37,11,7,25,6
631,17,21,36,31,7,11,9,19
632,24,15,33,25,7,16,12,1
633,23,22,23,33,13,8,30,20
634,25,16,32,37,8,18,27,10
635,22,19,26,36,12,11,5,21
636,17,20,37,27,10,14,18,24
637,29,10,25,28,11,14,29,22
638,11,19,31,27,10,14,13,8
639,25,16,27,31,20,12,26,11
640,10,8,34,15,11,19,16,17
641,16,9,33,28,8,19,4,3
642,25,22,27,36,11,12,12,15
643,24,17,29,32,7,11,28,1
644,11,20,36,29,9,8,18,6
645,19,21,31,23,12,17,29,23
646,21,11,32,21,17,22,25,7
647,12,25,19,28,18,12,9,20
648,15,17,32,31,14,7,13,11
649,21,15,33,20,15,21,5,10
650,12,20,27,28,12,12,2,21
651,13,20,38,35,10,14,27,26
652,10,27,35,34,13,7,8,22
653,37,27,26,27,17,14,25,7
654,10,15,42,31,6,12,14,23
655,23,24,28,23,13,20,4,3
656,13,14,25,24,23,19,17,12
657,26,17,30,28,9,10,6,19
658,28,34,33,25,9,13,20,28
659,20,19,28,27,14,18,30,10
660,18,19,32,35,13,8,1,16
661,15,23,28,32,18,13,18,29
662,16,18,36,29,16,10,15,24
663,30,23,37,38,12,11,14,11
664,19,17,27,33,19,13,17,28
665,25,21,30,34,7,3,27,2
666,23,24,33,25,11,13,8,25
667,16,29,29,26,12,13,13,23
668,18,16,33,26,7,16,20,30
669,18,19,28,36,16,13,7,1
670,15,17,36,39,10,9,11,4
671,16,14,33,26,11,16,15,6
672,11,12,24,38,13,12,19,16
673,16,16,31,27,16,12,21,12
674,17,14,26,22,19,15,29,13
675,24,22,37,30,8,12,8,18
676,14,21,32,34,11,9,14,26
677,22,19,31,43,8,7,9,5
678,22,20,30,22,13,18,3,10
679,21,20,28,32,17,14,18,28
680,28,15,28,32,11,11,24,2
681,22,15,23,33,9,8,25,23
682,30,18,24,31,15,10,22,19
683,14,13,43,36,13,13,1,20
684,16,13,28,19,14,23,6,10
685,23,20,19,29,18,4,7,16
686,10,14,37,36,14,15,27,13
687,18,29,37,29,14,8,8,12
688,16,13,21,25,16,18,29,2
689,33,26,25,34,13,9,14,15
690,24,7,29,29,12,16,26,21
691,5,14,39,22,7,16,28,3
692,18,20,33,28,18,14,30,22
693,17,19,34,32,11,13,1,4
694,11,10,41,25,7,14,6,17
695,20,19,21,29,17,9,18,11
696,24,22,26,23,12,13,24,12
697,22,19,33,37,13,12,26,23
698,22,14,27,29,8,8,16,19
699,28,18,26,22,15,18,28,20
700,15,30,22,23,13,12,7,13
701,17,14,26,33,10,7,8,21
702,21,19,26,29,13,11,24,15
703,21,20,28,29,13,14,10,2
704,21,21,20,35,17,10,25,14
705,31,17,30,32,13,23,9,17
706,16,8,32,18,11,18,22,3
707,12,12,33,29,11,10,5,1
708,20,16,33,25,11,16,11,18
709,22,24,25,36,16,2,29,4
710,17,20,35,34,20,13,25,27
711,13,8,27,28,22,12,26,15
712,22,19,32,38,10,5,12,5
713,18,21,22,22,12,10,16,3
714,14,11,20,28,17,12,20,6
715,17,10,33,28,5,11,19,8
716,22,32,37,31,10,11,7,30
717,12,13,25,33,22,6,24,4
718,15,12,26,32,16,19,14,13
719,19,23,31,26,15,15,22,12
720,35,21,24,35,18,14,23,2
721,14,18,37,27,5,12,11,30
722,20,12,24,27,13,11,17,8
723,16,20,25,29,12,11,19,18
724,11,26,38,39,15,11,21,1
725,22,26,29,32,14,10,10,15
726,15,10,34,27,17,20,25,29
727,12,5,22,36,13,12,26,28
728,23,16,30,32,10,8,14,27
729,19,19,25,31,16,13,3,20
730,23,23,30,37,13,11,2,9
731,26,18,32,33,7,4,4,5
732,12,18,34,25,5,15,11,6
733,12,20,22,20,13,13,24,7
734,16,18,34,29,18,8,13,27
735,20,19,36,34,13,18,12,17
736,10,16,31,30,13,8,18,15
737,22,27,29,21,10,12,16,22
738,22,14,30,31,10,8,21,6
739,11,13,32,34,18,12,10,28
740,16,17,28,30,18,14,23,8
741,8,15,24,35,22,10,2,20
742,24,21,24,36,14,8,9,11
743,17,16,31,32,10,16,22,5
744,16,17,38,23,7,19,1,13
745,16,27,25,28,17,9,18,26
746,17,22,31,29,8,11,19,30
747,12,20,38,42,10,8,27,24
748,34,15,26,35,13,12,3,14
749,17,12,26,17,13,18,29,7
750,18,17,33,38,7,10,25,28
751,17,17,30,35,15,10,4,16
752,17,19,34,27,9,9,15,12
753,14,23,24,35,20,2,6,13
754,12,15,36,28,17,13,17,19
755,18,24,29,31,11,11,23,22
756,15,23,29,24,16,11,2,14
757,13,15,31,38,12,9,18,26
758,17,16,35,26,11,20,21,10
759,15,15,35,32,7,16,27,30
760,23,19,29,22,10,14,7,9
761,17,17,32,31,11,9,24,28
762,24,24,24,31,19,13,25,1
763,6,18,29,20,11,14,6,16
764,28,22,37,37,7,11,20,14
765,15,22,26,25,12,12,5,13
766,23,20,28,31,15,11,17,4
767,20,21,27,34,16,8,8,19
768,18,13,30,35,13,12,9,30
769,23,22,20,27,14,6,23,22
770,21,26,32,27,9,14,15,25
771,7,15,27,27,26,9,3,2
772,23,18,34,26,7,12,11,21
773,13,27,32,27,14,11,18,10
774,5,15,40,40,8,8,27,26
775,26,18,27,40,17,10,29,28
776,26,9,31,33,4,19,24,1
777,5,22,29,36,16,6,12,14
778,16,21,35,31,14,10,6,15
779,14,13,28,26,12,13,20,16
780,21,13,30,32,11,7,5,4
781,23,17,23,37,14,5,7,19
782,16,12,35,24,16,19,8,10
783,19,14,30,26,9,13,17,13
784,16,23,30,31,14,9,9,4
785,10,17,23,24,17,13,12,26
786,20,21,30,26,12,17,30,25
787,26,12,19,29,10,12,3,24
788,24,20,33,26,7,15,11,28
789,24,25,24,33,16,12,18,22
790,14,32,45,33,7,13,27,23
791,13,17,28,34,13,10,29,1
792,25,32,29,26,14,13,2,30
793,14,21,19,31,16,11,9,24
794,20,30,27,28,18,16,20,13
795,21,19,36,30,12,14,5,25
796,17,17,32,37,14,8,17,16
797,18,25,43,34,9,11,19,14
798,20,21,35,35,21,10,21,11
799,15,21,31,25,14,14,10,7
800,17,14,33,38,15,6,8,1
801,11,27,33,34,12,8,4,22
802,15,15,32,31,8,15,12,6
803,28,30,22,23,12,7,20,23
804,17,7,28,33,10,11,15,28
805,22,24,38,28,10,6,18,8
806,26,23,34,24,14,11,19,26
807,16,17,28,23,9,16,9,3
808,15,14,29,32,6,12,30,6
809,18,24,25,32,16,12,2,13
810,22,16,44,32,6,8,5,27
811,19,15,31,31,13,21,11,26
812,23,27,35,26,6,15,29,7
813,3,15,30,33,26,11,10,21
814,25,17,28,31,9,16,25,17
815,18,13,31,22,6,15,22,20
816,27,21,29,34,9,9,2,24
817,14,19,33,26,12,12,19,1
818,15,18,28,25,11,7,15,5
819,17,22,45,30,13,10,8,18
820,18,18,35,32,14,17,14,21
821,21,17,37,22,6,8,6,9
822,15,17,29,30,15,9,30,4
823,7,15,21,27,19,10,3,23
824,36,20,31,23,6,15,16,12
825,16,19,33,26,10,9,28,27
826,24,28,37,36,10,10,11,26
827,18,8,32,33,12,23,29,18
828,16,11,26,24,12,17,13,7
829,31,9,35,25,8,21,25,10
830,12,16,38,29,9,10,22,8
831,20,22,33,32,10,7,1,24
832,21,16,22,37,17,5,2,5
833,15,13,35,33,7,12,14,17
834,39,27,39,31,7,14,9,27
835,21,21,25,33,11,10,12,24
836,17,11,30,32,14,11,23,20
837,14,18,19,37,25,8,3,4
838,22,22,29,41,12,6,28,29
839,21,18,20,28,12,7,16,11
840,20,10,39,26,10,15,15,18
841,20,12,30,38,9,10,19,6
842,29,32,26,35,16,12,25,21
843,27,18,30,25,9,18,26,7
844,11,12,31,28,11,17,13,17
845,11,29,24,27,13,6,2,23
846,17,14,32,45,8,5,4,8
847,18,21,26,25,11,12,22,16
848,19,13,36,29,12,14,30,12
849,15,15,40,29,10,11,1,27
850,28,21,31,36,12,9,20,29
851,16,12,27,31,9,5,6,5
852,11,21,28,32,12,8,10,14
853,23,14,43,27,8,20,26,7
854,20,13,18,30,21,12,3,15
855,24,25,31,27,11,13,28,9
856,18,21,33,42,20,11,4,1
857,20,15,35,35,9,8,6,27
858,14,22,35,28,11,15,12,29
859,16,28,31,29,15,6,23,11
860,18,13,27,33,12,11,16,8
861,19,24,30,23,15,12,20,2
862,18,16,32,30,3,8,5,22
863,15,16,29,30,9,9,21,19
864,22,19,30,39,13,9,7,18
865,11,18,32,36,20,12,10,30
866,12,19,23,30,23,12,25,14
867,15,14,42,30,8,13,28,22
868,27,16,25,29,18,17,17,3
869,13,21,43,23,7,14,24,26
870,19,19,32,30,17,15,13,10
871,17,19,24,28,12,17,25,30
872,20,15,29,28,14,13,4,27
873,21,16,21,26,18,15,12,5
874,27,20,26,31,13,10,23,6
875,16,18,35,31,5,14,1,20
876,8,12,28,32,21,11,3,9
877,17,21,24,30,17,8,2,16
878,17,15,29,30,14,12,15,29
879,40,26,33,20,9,10,21,11
880,11,17,37,25,11,14,8,7
881,22,17,34,32,10,7,14,19
882,16,14,27,22,10,18,5,17
883,20,14,31,29,8,14,18,30
884,12,25,31,29,11,11,24,13
885,17,20,37,22,6,17,6,8
886,18,22,27,33,22,18,12,3
887,18,15,27,20,12,17,22,9
888,29,30,21,27,13,7,23,15
889,20,19,34,26,9,13,28,19
890,28,16,24,35,22,10,7,27
891,23,21,29,37,13,8,29,21
892,24,17,26,26,16,14,14,10
893,25,14,33,27,14,16,26,25
894,12,13,20,33,19,12,30,20
895,21,26,35,27,15,13,1,6
896,15,18,28,27,19,9,17,16
897,10,25,35,33,11,10,18,4
898,26,18,28,26,14,15,24,21
899,19,15,38,18,12,12,5,2
900,16,18,11,25,26,11,10,11
901,31,28,33,47,26,18,13,26
902,9,22,32,26,6,7,9,28
903,22,28,28,21,10,11,4,16
904,32,10,29,33,6,15,22,12
905,19,18,26,32,19,8,20,19
906,7,11,30,25,15,11,15,8
907,28,8,26,27,9,16,23,3
908,22,17,33,29,10,9,29,27
909,15,13,25,32,13,8,17,24
910,23,27,29,29,16,14,1,2
911,14,12,32,26,8,6,5,30
912,10,21,19,36,20,6,7,14
913,12,12,26,27,18,9,6,28
914,17,16,25,27,16,18,21,26
915,16,11,24,21,15,17,10,18
916,27,17,22,38,20,7,25,11
917,23,25,36,33,13,11,8,13
918,18,19,30,39,13,3,4,9
919,25,16,22,20,10,15,23,16
920,23,11,25,28,12,9,20,3
921,19,20,28,27,6,9,19,22
922,17,17,30,42,13,6,1,30
923,20,4,24,36,12,14,2,17
924,13,14,23,27,15,10,28,5
925,7,11,39,37,9,16,11,8
926,13,20,45,25,6,13,15,14
927,20,22,32,28,11,15,21,26
928,18,31,34,30,12,11,7,12
929,24,16,20,31,10,8,29,27
930,13,19,37,25,12,12,10,25
931,20,13,24,34,11,9,13,18
932,18,12,23,33,9,9,4,24
933,23,23,25,29,14,12,9,5
934,23,13,23,35,16,10,3,6
935,21,22,27,26,7,15,16,23
936,14,19,34,27,20,15,20,2
937,16,16,25,23,11,17,11,15
938,15,22,23,34,26,9,17,22
939,18,31,33,22,11,16,21,14
940,27,20,25,37,11,9,25,19
941,19,17,29,32,14,9,30,28
942,18,24,20,33,25,12,7,23
943,10,9,35,33,10,8,27,12
944,23,18,25,23,14,9,10,13
945,21,15,29,36,9,10,4,22
946,13,16,40,28,12,13,1,25
947,14,21,32,26,9,14,3,2
948,30,11,27,30,12,17,16,20
949,19,21,32,22,7,20,5,24
950,9,18,35,29,17,9,21,29
951,25,24,32,20,8,11,8,15
952,18,21,30,24,10,10,10,19
953,26,19,36,33,10,14,26,13
954,20,12,26,28,10,14,14,18
955,19,10,24,35,14,12,30,28
956,10,18,31,27,14,6,6,9
957,20,26,29,28,13,9,16,1
958,19,16,23,41,15,8,27,11
959,25,31,27,24,17,18,17,23
960,22,22,35,28,14,20,26,18
961,35,20,23,37,15,12,7,24
962,22,13,35,32,10,16,5,12
963,18,15,31,18,11,18,14,10
964,18,12,24,25,12,8,2,4
965,24,28,31,23,11,16,22,25
966,25,13,39,32,13,11,11,27
967,27,22,30,32,14,11,21,29
968,22,22,22,32,21,15,3,20
969,33,11,33,32,12,18,13,15
970,20,14,31,26,12,16,6,3
971,22,35,38,32,15,16,12,23
972,11,17,38,17,8,22,30,17
973,32,17,25,42,16,9,16,1
974,19,17,30,33,13,10,8,28
975,13,11,31,32,16,11,26,19
976,14,19,30,23,10,15,9,25
977,14,32,41,36,9,10,22,17
978,18,16,27,30,11,12,20,4
979,15,22,23,25,11,15,18,23
980,17,23,29,25,7,15,11,2
981,20,14,33,27,17,20,21,10
982,17,19,23,26,19,15,7,29
983,23,22,34,27,7,9,14,15
984,14,20,35,33,12,12,30,1
985,13,22,24,19,18,11,3,25
986,22,17,27,30,8,9,16,6
987,16,14,29,22,13,16,19,7
988,7,17,22,38,15,8,8,5
989,14,20,29,18,20,15,24,21
990,24,13,33,24,6,13,13,28
991,16,19,33,35,7,8,9,4
992,20,21,30,43,18,6,12,11
993,20,20,28,36,16,13,22,29
994,11,17,25,27,19,14,17,2
995,13,23,32,21,18,15,15,10
996,24,20,34,29,10,13,26,20
997,23,20,32,27,11,15,23,25
998,14,15,36,27,7,15,30,1
999,21,17,28,22,14,18,16,6
1000,18,24,39,26,9,16,18,2
1001,13,19,38,31,13,13,27,8
1002,19,10,32,36,13,10,14,28
1003,12,24,32,25,10,7,13,20
1004,14,18,23,37,17,9,4,29
1005,18,26,32,34,11,9,9,12
1006,17,19,35,31,13,11,22,16
1007,15,10,40,32,10,20,1,3
1008,13,16,25,29,16,15,11,5
1009,20,15,31,24,10,15,15,7
1010,16,27,22,28,12,9,19,21
1011,10,9,23,22,23,21,10,17
1012,18,31,31,26,13,15,24,26
1013,18,21,33,25,12,17,8,2
1014,16,25,31,34,10,7,4,6
1015,19,19,30,28,11,6,23,30
1016,22,14,24,33,19,10,19,25
1017,14,20,23,26,10,10,27,21
1018,10,17,31,31,12,11,14,20
1019,7,15,34,26,14,10,9,12
1020,23,16,40,42,4,12,1,18
1021,31,13,23,27,14,16,16,29
1022,6,16,23,26,12,12,7,15
1023,20,19,29,27,11,12,11,3
1024,14,16,26,42,19,4,10,24
1025,11,18,25,35,21,15,26,17
1026,12,16,37,31,6,14,4,6
1027,22,11,37,28,7,10,30,9
1028,15,20,37,36,12,6,28,8
1029,13,25,31,22,11,18,19,14
1030,20,25,34,23,11,12,21,2
1031,14,16,26,34,22,10,27,22
1032,14,24,33,28,8,12,24,17
1033,14,24,21,27,17,15,25,20
1034,15,23,26,22,14,17,6,23
1035,27,9,36,28,13,18,16,15
1036,22,23,22,20,16,18,5,26
1037,12,31,39,23,8,11,11,14
1038,16,24,25,22,12,12,18,3
1039,15,32,34,27,15,17,27,7
1040,26,11,30,32,16,17,13,10
1041,10,17,27,39,12,8,9,8
1042,16,24,19,19,14,13,2,26
1043,20,18,33,27,14,13,28,21
1044,18,9,36,32,11,22,17,12
1045,17,19,30,35,13,8,24,22
1046,19,19,24,36,5,10,4,23
1047,17,14,31,36,16,11,1,10
1048,17,16,44,27,4,8,6,30
1049,26,21,40,28,11,18,5,18
1050,17,22,32,27,11,12,11,19
1051,22,14,19,35,20,14,27,15
1052,22,29,24,26,14,15,25,3
1053,19,15,38,24,5,16,14,7
1054,25,12,32,31,9,12,20,8
1055,18,19,36,32,6,10,13,22
1056,19,18,33,39,12,15,12,23
1057,17,24,39,34,9,5,28,18
1058,23,14,28,26,13,22,30,26
1059,6,19,28,25,17,10,5,16
1060,11,28,34,26,18,13,15,10
1061,17,11,25,20,17,22,29,3
1062,14,12,26,30,12,12,2,8
1063,29,17,31,29,11,15,21,24
1064,10,17,37,43,14,5,27,1
1065,14,23,28,25,10,13,9,16
1066,36,20,22,29,9,13,11,19
1067,16,9,27,30,16,14,17,28
1068,22,19,31,31,6,12,25,13
1069,26,13,23,31,13,10,14,22
1070,23,26,31,28,10,9,4,12
1071,19,24,28,32,10,7,23,5
1072,24,24,34,37,14,14,20,18
1073,20,16,29,27,10,17,11,10
1074,20,19,31,28,10,11,15,7
1075,20,19,30,22,16,19,29,26
1076,24,18,31,32,12,10,22,30
1077,27,20,30,24,14,13,1,9
1078,18,17,32,28,9,14,2,6
1079,19,11,35,17,10,13,19,27
1080,14,16,22,31,17,18,26,3
1081,12,13,35,29,6,10,13,21
1082,12,19,40,27,4,15,30,8
1083,21,20,29,26,16,16,16,20
1084,29,21,32,32,7,11,28,12
1085,20,15,27,38,17,12,7,10
1086,17,22,28,23,6,16,5,23
1087,28,17,33,36,12,12,15,11
1088,13,13,36,27,15,9,17,27
1089,24,22,34,33,11,12,18,1
1090,26,24,28,32,11,13,29,25
1091,36,15,31,30,8,12,14,24
1092,18,20,27,25,13,12,22,20
1093,24,20,27,30,12,12,2,6
1094,14,11,34,29,11,9,19,4
1095,15,10,29,28,18,13,13,21
1096,14,13,26,35,18,4,3,12
1097,19,9,36,38,15,13,30,27
1098,23,23,28,28,13,6,28,9
1099,12,13,32,40,25,7,15,11
1100,18,20,32,32,9,11,7,4
1101,25,12,29,33,11,22,29,17
1102,18,28,24,30,18,8,10,23
1103,16,11,31,31,6,17,25,5
1104,28,22,34,39,13,9,26,24
1105,20,17,30,26,12,14,14,21
1106,22,12,38,38,15,14,1,12
1107,12,23,26,26,12,18,16,2
1108,20,19,32,30,15,9,8,17
1109,16,24,32,21,15,13,24,23
1110,17,10,28,38,16,9,26,29
1111,17,8,24,30,15,21,13,19
1112,20,21,27,13,12,19,4,7
1113,19,10,25,33,13,14,14,5
1114,22,14,38,35,7,13,1,15
1115,15,13,34,28,18,8,3,27
1116,21,15,30,29,9,6,6,11
1117,22,24,38,29,7,8,22,2
1118,13,12,34,22,11,16,28,30
1119,20,24,25,29,14,12,25,21
1120,13,14,19,17,15,17,10,18
1121,28,22,34,31,7,14,9,17
1122,18,15,31,29,8,18,12,7
1123,20,24,33,35,17,7,20,11
1124,18,20,29,32,9,11,29,24
1125,19,17,32,35,11,8,8,23
1126,13,14,28,37,7,12,25,19
1127,32,22,34,35,5,9,26,18
1128,8,15,28,35,20,9,13,5
1129,9,10,41,34,13,11,30,3
1130,26,15,29,38,12,9,1,6
1131,8,18,37,22,8,10,28,16
1132,17,12,30,27,12,14,15,22
1133,23,19,39,38,11,14,21,4
1134,16,13,25,30,18,12,10,19
1135,16,23,39,48,14,10,12,17
1136,18,13,27,37,17,9,2,11
1137,12,9,25,22,13,13,20,16
1138,25,14,20,20,17,18,23,7
1139,11,24,36,38,9,7,5,14
1140,23,23,38,26,11,22,15,13
1141,19,10,29,24,10,16,21,9
1142,17,18,35,37,10,12,27,29
1143,21,8,34,28,6,12,24,18
1144,11,18,21,24,9,18,25,26
1145,9,16,24,29,14,22,17,3
1146,20,18,28,25,4,13,8,19
1147,7,18,21,32,14,13,4,5
1148,19,29,33,38,12,4,12,21
1149,23,18,29,34,12,8,23,28
1150,10,20,24,36,17,8,30,22
1151,21,13,25,37,17,9,3,29
1152,11,21,34,31,15,8,2,1
1153,11,15,27,32,17,17,6,20
1154,34,18,27,32,11,11,11,9
1155,13,15,34,23,9,11,15,13
1156,16,24,28,36,13,9,18,14
1157,15,16,26,27,21,15,10,27
1158,15,11,21,35,19,19,25,26
1159,16,11,27,32,10,6,24,8
1160,26,14,32,33,13,14,16,7
1161,31,19,35,31,7,11,19,13
1162,9,8,27,48,15,8,4,28
1163,26,22,29,32,9,8,2,29
1164,19,10,41,20,9,19,5,15
1165,18,12,27,34,11,9,18,25
1166,18,22,39,39,12,10,1,7
1167,13,15,33,23,13,16,20,30
1168,25,29,26,23,17,9,22,9
1169,25,25,38,39,11,13,26,27
1170,8,21,31,43,13,9,11,14
1171,35,23,25,33,11,13,21,24
1172,18,24,35,27,9,9,6,12
1173,15,12,36,28,10,12,17,23
1174,15,17,35,33,9,9,8,10
1175,16,21,24,27,12,15,4,28
1176,22,23,25,28,11,13,9,16
1177,13,18,35,27,10,15,22,6
1178,15,17,37,27,13,23,30,17
1179,11,17,26,33,13,8,2,18
1180,14,10,28,23,11,15,23,3
1181,16,17,34,38,7,10,5,1
1182,18,10,35,30,12,11,11,8
1183,17,11,24,28,18,14,15,25
1184,22,12,30,29,7,17,19,26
1185,24,27,32,36,15,12,29,14
1186,22,26,27,33,20,11,10,21
1187,19,11,33,22,10,13,24,27
1188,13,16,28,28,13,17,9,2
1189,24,16,30,34,15,18,12,20
1190,35,20,30,39,13,6,1,30
1191,10,13,27,31,11,6,3,28
1192,9,9,21,25,18,11,17,5
1193,29,19,23,38,21,12,19,15
1194,15,15,24,34,20,12,7,26
1195,23,16,27,33,16,12,13,14
1196,15,8,20,28,13,18,22,6
1197,13,13,29,31,10,18,23,16
1198,25,15,37,41,10,10,27,25
1199,11,21,36,24,5,15,29,21
1200,20,19,24,36,17,8,24,8
1201,20,21,25,35,13,7,4,11
1202,22,21,30,31,11,13,12,9
1203,29,7,32,28,7,15,30,16
1204,19,23,41,40,10,11,1,23
1205,16,13,30,31,15,9,3,28
1206,22,15,26,24,9,7,2,22
1207,9,11,21,33,21,20,17,15
1208,19,15,32,24,10,14,19,20
1209,10,12,24,35,18,11,7,5
1210,10,21,27,25,11,16,26,10
1211,13,12,27,34,18,9,14,24
1212,19,17,33,26,11,15,29,8
1213,18,15,37,32,13,24,27,18
1214,26,17,37,33,12,14,13,25
1215,11,15,17,33,25,11,3,1
1216,23,14,23,39,12,14,2,23
1217,15,26,25,31,10,6,6,4
1218,15,17,27,21,18,17,16,22
1219,17,30,37,27,15,19,20,12
1220,14,17,37,26,11,12,28,17
1221,13,20,27,38,14,6,30,11
1222,17,10,34,22,6,9,5,9
1223,8,21,29,36,17,15,7,27
1224,22,25,26,37,13,3,18,19
1225,13,13,33,33,12,7,21,15
1226,18,10,35,26,7,11,8,26
1227,16,5,29,41,18,10,14,29
1228,16,16,28,44,14,5,24,13
1229,16,14,29,31,9,27,25,10
